comp,year,discp,seg,skname,nat,rank,order,tss,tes,tpcs,tded,tbv,pcs1f,pcs1j1,pcs1j2,pcs1j3,pcs1j4,pcs1j5,pcs1j6,pcs1j7,pcs1j8,pcs1j9,pcs1t,pcs2f,pcs2j1,pcs2j2,pcs2j3,pcs2j4,pcs2j5,pcs2j6,pcs2j7,pcs2j8,pcs2j9,pcs2t,pcs3f,pcs3j1,pcs3j2,pcs3j3,pcs3j4,pcs3j5,pcs3j6,pcs3j7,pcs3j8,pcs3j9,pcs3t,pcs4f,pcs4j1,pcs4j2,pcs4j3,pcs4j4,pcs4j5,pcs4j6,pcs4j7,pcs4j8,pcs4j9,pcs4t,pcs5f,pcs5j1,pcs5j2,pcs5j3,pcs5j4,pcs5j5,pcs5j6,pcs5j7,pcs5j8,pcs5j9,pcs5t,
owg,2018,1,0,Gabrielle DALEMAN,CAN,7,21,68.90,35.90,33.00,0.00,32.13,0.80,8.50,8.00,8.25,8.75,8.50,8.25,8.50,8.25,7.75,8.32,0.80,8.50,7.25,8.25,8.50,8.25,7.75,8.00,8.00,7.50,8.04,0.80,8.50,8.00,8.00,8.75,8.25,8.00,8.25,8.25,7.75,8.18,0.80,8.50,8.00,8.00,8.75,8.50,8.00,8.50,8.25,7.50,8.25,0.80,8.75,8.25,8.50,8.75,8.50,8.25,8.50,8.50,7.75,8.46,
owg,2018,1,0,Dabin CHOI,KOR,8,24,67.77,37.54,30.23,0.00,33.06,0.80,8.00,8.00,7.75,7.25,8.00,7.50,7.75,7.75,7.50,7.75,0.80,7.50,7.25,7.50,7.00,7.75,7.00,7.50,7.00,7.25,7.29,0.80,7.75,7.75,7.75,7.00,7.75,7.50,8.00,7.50,7.75,7.68,0.80,7.25,7.50,7.50,7.25,7.75,7.50,7.75,7.50,7.50,7.50,0.80,7.50,7.75,7.75,7.00,7.75,7.50,8.00,7.25,7.50,7.57,
owg,2018,1,0,Mirai NAGASU,USA,9,20,66.93,37.24,30.69,-1.00,36.41,0.80,8.50,7.75,8.25,8.00,8.50,7.75,8.00,8.00,7.50,8.04,0.80,7.75,7.00,8.00,7.25,8.00,6.50,7.50,7.00,7.00,7.36,0.80,8.00,7.25,7.75,7.75,8.25,6.50,7.50,7.75,7.25,7.61,0.80,8.00,7.00,8.00,7.75,8.25,7.00,7.75,7.75,7.50,7.68,0.80,7.75,7.25,8.25,7.50,8.25,7.25,8.00,7.75,7.25,7.68,
owg,2018,1,0,Karen CHEN,USA,10,22,65.90,33.53,32.37,0.00,29.97,0.80,8.00,8.25,8.00,8.00,8.00,8.50,8.00,8.25,8.00,8.07,0.80,8.00,8.00,8.00,8.25,7.75,8.00,7.75,7.75,7.50,7.89,0.80,8.25,8.50,8.25,8.00,8.25,8.50,7.75,8.00,7.75,8.14,0.80,8.00,8.25,8.00,8.25,8.25,8.25,8.00,8.00,8.00,8.11,0.80,8.00,8.50,8.50,8.25,8.25,8.50,8.25,8.00,7.75,8.25,
owg,2018,1,0,Bradie TENNELL,USA,11,1,64.01,35.50,29.51,-1.00,32.54,0.80,7.75,7.25,8.00,7.75,7.50,6.75,7.75,7.50,7.50,7.57,0.80,7.25,6.25,7.75,7.50,7.25,7.25,7.25,7.00,7.25,7.25,0.80,7.50,6.75,7.75,7.50,7.25,6.75,7.25,7.25,7.25,7.25,0.80,7.50,6.50,8.00,7.75,7.50,7.00,7.50,7.25,7.50,7.43,0.80,7.50,6.50,8.00,7.50,7.50,7.00,7.50,7.25,7.50,7.39,
owg,2018,1,0,Maria SOTSKOVA,OAR,12,30,63.86,31.47,33.39,-1.00,31.06,0.80,8.75,8.50,8.25,8.50,8.50,8.00,8.50,8.75,8.25,8.46,0.80,8.75,8.25,8.00,8.25,8.25,7.50,8.25,8.50,8.00,8.21,0.80,8.50,8.50,7.75,8.00,8.50,7.75,8.00,8.50,8.25,8.21,0.80,8.75,8.50,8.00,8.50,8.50,8.25,8.25,8.75,8.50,8.46,0.80,8.50,8.50,8.25,8.25,8.50,7.75,8.50,8.75,8.25,8.39,
owg,2018,1,0,Nicole RAJICOVA,SVK,13,18,60.59,32.36,28.23,0.00,29.33,0.80,7.50,7.25,6.75,7.25,7.25,6.75,7.25,7.50,7.00,7.18,0.80,7.00,6.75,6.50,7.00,7.00,6.25,7.00,6.75,6.75,6.82,0.80,7.50,7.25,7.00,7.50,7.50,6.75,7.25,7.00,7.00,7.21,0.80,7.25,7.00,6.75,7.25,7.25,6.50,7.00,7.00,6.75,7.00,0.80,7.25,7.25,7.00,7.00,7.50,6.75,7.25,7.00,6.75,7.07,
owg,2018,1,0,Nicole SCHOTT,GER,14,17,59.20,31.62,27.58,0.00,29.53,0.80,7.25,7.00,7.00,7.00,7.00,7.50,6.75,6.75,6.25,6.96,0.80,6.75,6.25,7.00,6.50,6.50,7.50,6.75,6.50,6.00,6.61,0.80,7.25,7.00,7.25,7.00,7.00,7.25,7.25,6.75,6.50,7.07,0.80,7.00,6.50,7.00,7.00,6.75,7.50,7.00,6.75,6.25,6.86,0.80,7.00,6.75,7.00,7.00,7.00,7.75,7.25,6.75,6.25,6.96,
owg,2018,1,0,Elizabet TURSYNBAEVA,KAZ,15,23,58.82,29.14,29.68,0.00,25.90,0.80,7.50,7.50,7.50,7.25,7.25,7.50,8.00,7.50,7.50,7.46,0.80,7.25,7.00,7.50,7.00,7.00,7.00,7.50,7.25,7.25,7.18,0.80,7.50,7.50,7.50,7.25,7.50,7.50,7.75,7.50,7.50,7.50,0.80,7.25,7.25,7.50,7.50,7.25,7.25,8.00,7.75,7.50,7.43,0.80,7.50,7.75,7.75,7.25,7.25,7.50,8.00,7.75,7.25,7.54,
owg,2018,1,0,Kailani CRAINE,AUS,16,13,56.77,30.36,26.41,0.00,28.47,0.80,6.75,5.75,7.25,6.00,6.25,6.75,6.75,7.50,6.50,6.61,0.80,6.50,5.75,7.00,5.75,5.75,6.50,6.50,7.25,6.25,6.32,0.80,6.75,6.00,7.25,6.00,6.00,7.25,7.25,7.75,6.50,6.71,0.80,6.50,6.25,7.00,6.00,6.25,7.00,6.75,7.75,6.25,6.57,0.80,6.75,6.25,7.50,6.25,6.25,7.25,7.00,7.75,6.50,6.79,
